Date;MSI RX 6700 XT GAMING X 12G
2021-04-02;1195.45
2021-04-03;1098.67
2021-04-04;1097.51
2021-04-05;1092.74
2021-04-06;1076.74
2021-04-07;1145.18
2021-04-08;1102.99
2021-04-09;1121.84
2021-04-10;1099.17
2021-04-11;1093.51
2021-04-12;1074.17
2021-04-13;1095.22
2021-04-14;1096.21
2021-04-15;1143.99
2021-04-16;1127.65
2021-04-17;1104.43
2021-04-18;1092.65
2021-04-19;1063.1
2021-04-20;1049.31
2021-04-21;1013.82
2021-04-22;1033.55
2021-04-23;1031.44
2021-04-24;1031.64
2021-04-25;1023.43
2021-04-26;1023.54
2021-04-27;1017.21
2021-04-28;1014.43
2021-04-29;1005.99
2021-04-30;1007.66
2021-05-01;1004.08
2021-05-02;1079.78
2021-05-03;1064.18
2021-05-04;1072.89
2021-05-05;1068.26
2021-05-06;1073.33
2021-05-07;1069.81
2021-05-08;1075.91
2021-05-09;1078.34
2021-05-10;1078.7
2021-05-11;1085.52
2021-05-12;1088.46
2021-05-13;1114.99
2021-05-14;1125.05
2021-05-15;1145.05
2021-05-16;1176.37
2021-05-17;1183.45
2021-05-18;1175.41
2021-05-19;1185.4
2021-05-20;1185.57
2021-05-21;1188.69
2021-05-22;1198.64
2021-05-23;1195.16
2021-05-24;1191.1
2021-05-25;1213.63
2021-05-26;1196.51
2021-05-27;1188.35
2021-05-28;1199.08
2021-05-29;1183.16
2021-05-30;1181.62
2021-05-31;1188.25
2021-06-01;1203
2021-06-02;1169.82
2021-06-03;1192.07
2021-06-04;1190.69
2021-06-05;1169.09
2021-06-06;1174.45
2021-06-07;1171.37
2021-06-08;1156.8
2021-06-09;1149.58
2021-06-10;1156.43
2021-06-11;1151.99
2021-06-12;1149.95
2021-06-13;1140.7
2021-06-14;1132.28
2021-06-15;1127.79
2021-06-16;1127.43
2021-06-17;1121.54
2021-06-18;1119.29
2021-06-19;1117.59
2021-06-20;1115.86
2021-06-21;1116.12
2021-06-22;1108.42
2021-06-23;1110.41
2021-06-24;1097.41
2021-06-25;1079.98
2021-06-26;1049.72
2021-06-27;1049.72
2021-06-28;1046.34
2021-06-29;1045.08
2021-06-30;1049.61
2021-07-01;1042.31
2021-07-02;1045.12
2021-07-03;1039.29
2021-07-04;1038.88
2021-07-05;1036.17
2021-07-06;1032.74
2021-07-07;1029.64
2021-07-08;1017.35
2021-07-09;1012.94
2021-07-10;1012.39
2021-07-11;1018.07
2021-07-12;1011.2
2021-07-13;1015.4
2021-07-14;1009.53
2021-07-15;1011.03
2021-07-16;1004.19
2021-07-17;1010.8
2021-07-18;1008.19
2021-07-19;1006.99
2021-07-20;998.27
2021-07-21;999.63
2021-07-22;994.84
2021-07-23;1000.97
2021-07-24;1001.09
2021-07-25;985.55
2021-07-26;992.26
2021-07-27;990.73
