Date;MSI RX 6900 XT GAMING X TRIO 16G
2021-01-19;2495
2021-01-20;2399.5
2021-01-21;1588.64
2021-01-22;1585.66
2021-01-23;1780.99
2021-01-24;1780.99
2021-01-25;1633.59
2021-01-26;1712.39
2021-01-27;1609.82
2021-01-28;1526.99
2021-01-29;1692.24
2021-01-30;1604.74
2021-01-31;1666.33
2021-02-01;1633.32
2021-02-02;1731.98
2021-02-03;1599.99
2021-02-04;1766.33
2021-02-05;1765.31
2021-02-06;1765.31
2021-02-07;1765.31
2021-02-08;1666.66
2021-02-09;1666.66
2021-02-10;1599.66
2021-02-11;1666.66
2021-02-12;1666.66
2021-02-13;1746.77
2021-02-14;1696.33
2021-02-15;1649.99
2021-02-16;1632.99
2021-02-17;1729.7
2021-02-18;1715.07
2021-02-19;1737.32
2021-02-20;1737.32
2021-02-21;1702.58
2021-02-22;1704.99
2021-02-23;1753.99
2021-02-24;1704.74
2021-02-25;1737.62
2021-02-26;1773.99
2021-02-27;1787.91
2021-02-28;1813.84
2021-03-01;1885.9
2021-03-02;1885.84
2021-03-03;1862.06
2021-03-04;1899.64
2021-03-05;1899.64
2021-03-06;1828.03
2021-03-07;1825.87
2021-03-08;1795.83
2021-03-09;1860.6
2021-03-10;1858.39
2021-03-11;1913.24
2021-03-12;1907.64
2021-03-13;1913.79
2021-03-14;1895.66
2021-03-15;1893.45
2021-03-16;1925.06
2021-03-17;1916.99
2021-03-18;2003.59
2021-03-19;2013.6
2021-03-20;1956.8
2021-03-21;2016.98
2021-03-22;2031.59
2021-03-23;2279.96
2021-03-24;2254.96
2021-03-25;2251.58
2021-03-26;2254.72
2021-03-27;2254.72
2021-03-28;2251.58
2021-03-29;2302.22
2021-03-30;2302.22
2021-03-31;2251.58
2021-04-01;2249.24
2021-04-02;2249
2021-04-03;2112.64
2021-04-04;2131.04
2021-04-05;2131.04
2021-04-06;2012.53
2021-04-07;1979.03
2021-04-08;1976.94
2021-04-09;1948.4
2021-04-10;2159.25
2021-04-11;2147
2021-04-12;2171.5
2021-04-13;2149.5
2021-04-14;2162.24
2021-04-15;2157.05
2021-04-16;2126.42
2021-04-17;2153
2021-04-18;2142.2
2021-04-19;2233.74
2021-04-20;2144.3
2021-04-21;2099.24
2021-04-22;2192.22
2021-04-23;2188.22
2021-04-24;2188.22
2021-04-25;2188.22
2021-04-26;2188.22
2021-04-27;2188.22
2021-04-28;2187.3
2021-04-29;2185.47
2021-04-30;2167.22
2021-05-01;2167.22
2021-05-02;2242.05
2021-05-03;2242.05
2021-05-04;2236.72
2021-05-05;2236.72
2021-05-06;2236.72
2021-05-07;2239.47
2021-05-08;2265.05
2021-05-09;2236.72
2021-05-10;2236.72
2021-05-11;2236.72
2021-05-12;2236.72
2021-05-13;2144.8
2021-05-14;2236.72
2021-05-15;2233.97
2021-05-16;2244.8
2021-05-17;2242.22
2021-05-18;2302.16
2021-05-19;2302.16
2021-05-20;2302.16
2021-05-21;2302.16
2021-05-22;2294.41
2021-05-23;2294.41
2021-05-24;2294.41
2021-05-25;2294.41
2021-05-26;2294.41
2021-05-27;2746.05
2021-05-28;2746.05
2021-05-29;2638.43
2021-05-30;2588.43
2021-05-31;2588.43
2021-06-01;2587.56
2021-06-02;2585.72
2021-06-03;2575.72
2021-06-04;2575.72
2021-06-05;2575.72
2021-06-06;2560.08
2021-06-07;2561.13
2021-06-08;2556.86
2021-06-09;2736.1
2021-06-10;2845.09
2021-06-11;2824.45
2021-06-12;2788.33
2021-06-13;2686.71
2021-06-14;2626.33
2021-06-15;2605.74
2021-06-16;2608.2
2021-06-17;2534.55
2021-06-18;2501.46
2021-06-19;2495.86
2021-06-20;2491.31
2021-06-21;2479.52
2021-06-22;2441.17
2021-06-23;2429.91
2021-06-24;2346.99
2021-06-25;2346.32
2021-06-26;2382.44
2021-06-27;2382.44
2021-06-28;2338.37
2021-06-29;2319.99
2021-06-30;2338.23
2021-07-01;2318.08
2021-07-02;2218.17
2021-07-03;2243.3
2021-07-04;2241.68
2021-07-05;2243.3
2021-07-06;2243.3
2021-07-07;2238.18
2021-07-08;2197.59
2021-07-09;2215.82
2021-07-10;2187.2
2021-07-11;2211.69
2021-07-12;2220.52
2021-07-13;2231.86
2021-07-14;2230.06
2021-07-15;2189.58
2021-07-16;2238.82
2021-07-17;2242.1
2021-07-18;2242.1
2021-07-19;2242.1
2021-07-20;2283.4
2021-07-21;2231.97
2021-07-22;2255.67
2021-07-23;2247.28
2021-07-24;2247.28
2021-07-25;2250.38
2021-07-26;2195.91
2021-07-27;2184.46
2021-07-28;2207.84
2021-07-29;2173.98
2021-07-30;2177.52
2021-07-31;2177.52
2021-08-01;2180.36
2021-08-02;2180.36
2021-08-03;2179.83
2021-08-04;2135.15
2021-08-05;2124.53
2021-08-06;2117.78
2021-08-07;2202.78
2021-08-08;2202.78
2021-08-09;2201.59
2021-08-10;2202.78
2021-08-11;2200.43
2021-08-12;2201.76
2021-08-13;2201.76
2021-08-14;2201.76
2021-08-15;2201.76
2021-08-16;2201.7
2021-08-17;2236.43
2021-08-18;2191.96
2021-08-19;2154.73
2021-08-20;2144.34
2021-08-21;2119.34
2021-08-22;2144.34
2021-08-23;2117.76
2021-08-24;2141.21
2021-08-25;2141.21
2021-08-26;2204.63
2021-08-27;2196.68
2021-08-28;2243.72
2021-08-29;2225.08
2021-08-30;2185.07
2021-08-31;2232.34
2021-09-01;2237.88
2021-09-02;2241.72
2021-09-03;2205.71
2021-09-04;2186.24
2021-09-05;2206.92
2021-09-06;2227.24
2021-09-07;2227.24
2021-09-08;2301.57
2021-09-09;2246.49
2021-09-10;2263.21
2021-09-11;2264.78
2021-09-12;2271.16
2021-09-13;2307.7
2021-09-14;2296.1
2021-09-15;2306.32
2021-09-16;2290.57
2021-09-17;2262.44
2021-09-18;2249.22
2021-09-19;2263.33
2021-09-20;2261.15
2021-09-21;2266.68
2021-09-22;2252.65
2021-09-23;2220.32
2021-09-24;2218.62
2021-09-25;2209.62
2021-09-26;2208.62
2021-09-27;2207.95
2021-09-28;2206.57
2021-09-29;2206.27
2021-09-30;2209.32
2021-10-01;2203.06
2021-10-02;2195.23
2021-10-03;2198.23
2021-10-04;2202.72
2021-10-05;2209.85
2021-10-06;2174.58
2021-10-07;2182.65
2021-10-08;2184.46
2021-10-09;2131.01
2021-10-10;2134.26
2021-10-11;2128.48
2021-10-12;2116.77
2021-10-13;2116.08
2021-10-14;2120.56
2021-10-15;2123.1
2021-10-16;2143.83
2021-10-17;2143.74
2021-10-18;2143.62
2021-10-19;2120.07
2021-10-20;2177.97
2021-10-21;2183.24
2021-10-22;2192.79
2021-10-23;2200.1
2021-10-24;2190.68
2021-10-25;2130.38
2021-10-26;2182.45
2021-10-27;2192.87
2021-10-28;2186
2021-10-29;2169.48
2021-10-30;2175.61
2021-10-31;2097.66
2021-11-01;2125.04
2021-11-02;2137.41
2021-11-03;2135.46
2021-11-04;2069.26
2021-11-05;2025.04
2021-11-06;2030.99
2021-11-07;2042.99
2021-11-08;2049.53
2021-11-09;2052.29
2021-11-10;2058.81
2021-11-11;2054.9
2021-11-12;2084.88
2021-11-13;2130.27
2021-11-14;2130.03
2021-11-15;2103.87
2021-11-16;2088.74
2021-11-17;2144.14
2021-11-18;2112.65
2021-11-19;2102.55
2021-11-20;2112.5
2021-11-21;2123.94
2021-11-22;2079.97
2021-11-23;2083.79
2021-11-24;2089.02
