Date;MSI GEFORCE RTX 3070 SUPRIM X 8G
2020-11-13;999.66
2020-11-14;1038
2020-11-15;1038
2020-11-16;1038
2020-11-17;976.33
2020-11-18;971.66
2020-11-19;1075.19
2020-11-20;1008.12
2020-11-21;960.98
2020-11-22;912.55
2020-11-23;923.38
2020-11-24;906.77
2020-11-25;981.67
2020-11-26;968.02
2020-11-27;978.3
2020-11-28;1023.45
2020-11-29;991.68
2020-11-30;1021.17
2020-12-01;1007.97
2020-12-02;1036.78
2020-12-03;1044.28
2020-12-04;1053.38
2020-12-05;1061.78
2020-12-06;1089.38
2020-12-07;1116.88
2020-12-08;1064.47
2020-12-09;1049.51
2020-12-10;1031.7
2020-12-11;1029.38
2020-12-12;1026.5
2020-12-13;1008.69
2020-12-14;985.34
2020-12-15;990.38
2020-12-16;991.86
2020-12-17;980.23
2020-12-18;950.69
2020-12-19;966.96
2020-12-20;972.79
2020-12-21;967.84
2020-12-22;949.58
2020-12-23;937.2
2020-12-24;920.64
2020-12-25;930.53
2020-12-26;933.15
2020-12-27;921.94
2020-12-28;924.8
2020-12-29;918.27
2020-12-30;924.11
2020-12-31;924.11
2021-01-01;924.11
2021-01-02;924.11
2021-01-03;924.11
2021-01-04;924.11
2021-01-05;924.11
2021-01-06;924.11
2021-01-07;978.23
2021-01-08;988.75
2021-01-09;992.54
2021-01-10;991.71
2021-01-11;999.62
2021-01-12;1002.29
2021-01-13;1004.62
2021-01-14;1005.33
2021-01-15;999.49
2021-01-16;1027.4
2021-01-17;1033.15
2021-01-18;961.73
2021-01-19;965.4
2021-01-20;962.36
2021-01-21;973.99
2021-01-22;979.49
2021-01-23;981.12
2021-01-24;977.76
2021-01-25;977.92
2021-01-26;966.67
2021-01-27;965.06
2021-01-28;885.26
2021-01-29;873.78
2021-01-30;882.32
2021-01-31;887.15
2021-02-01;888.61
2021-02-02;886.67
2021-02-03;839.74
2021-02-04;837.4
2021-02-05;834.45
2021-02-06;841.7
2021-02-07;851.26
2021-02-08;843.02
2021-02-09;839.17
2021-02-10;870.44
2021-02-11;872.57
2021-02-12;890.36
2021-02-13;889.04
2021-02-14;909.95
2021-02-15;922.79
2021-02-16;954.2
2021-02-17;925.4
2021-02-18;903.55
2021-02-19;882.69
2021-02-20;879.59
2021-02-21;879.3
2021-02-22;884.77
2021-02-23;877.17
2021-02-24;865.62
2021-02-25;868.02
2021-02-26;876.9
2021-02-27;867.37
2021-02-28;860.18
2021-03-01;860.79
2021-03-02;864.91
2021-03-03;881.29
2021-03-04;881.32
2021-03-05;866.16
2021-03-06;874.9
2021-03-07;879.87
2021-03-08;879.29
2021-03-09;868.83
2021-03-10;873.98
2021-03-11;916.06
2021-03-12;927.35
2021-03-13;919.88
2021-03-14;919.89
2021-03-15;936.56
2021-03-16;931.23
2021-03-17;954.82
2021-03-18;944.52
2021-03-19;952.49
2021-03-20;966.37
2021-03-21;966.23
2021-03-22;964.51
2021-03-23;953.69
2021-03-24;932.83
2021-03-25;937.33
2021-03-26;915.48
2021-03-27;920.93
2021-03-28;920.93
2021-03-29;921.54
2021-03-30;914.59
2021-03-31;905.94
2021-04-01;917.02
2021-04-02;933.22
2021-04-03;940.73
2021-04-04;944.58
2021-04-05;938.45
2021-04-06;921.46
2021-04-07;921.73
2021-04-08;921.99
2021-04-09;931.81
2021-04-10;944.87
2021-04-11;944.87
2021-04-12;944.84
2021-04-13;939.07
2021-04-14;960.11
2021-04-15;955.11
2021-04-16;941.21
2021-04-17;928.09
2021-04-18;981.77
2021-04-19;976.25
2021-04-20;975.31
2021-04-21;972.12
2021-04-22;972.09
2021-04-23;971.98
2021-04-24;972.09
2021-04-25;971.8
2021-04-26;959.54
2021-04-27;958.66
2021-04-28;959.06
2021-04-29;955.93
2021-04-30;954.89
2021-05-01;960.18
2021-05-02;961.15
2021-05-03;961.15
2021-05-04;961.15
2021-05-05;961.15
2021-05-06;963.06
2021-05-07;964.99
2021-05-08;964.99
2021-05-09;956.71
2021-05-10;956.71
2021-05-11;956.71
2021-05-12;959.87
2021-05-13;967.37
2021-05-14;967.37
2021-05-15;964.56
2021-05-16;964.56
2021-05-17;975.49
2021-05-18;975.31
2021-05-19;972.16
2021-05-20;969.21
2021-05-21;964.55
2021-05-22;967.68
2021-05-23;965.96
2021-05-24;960.07
2021-05-25;959.87
2021-05-26;959.84
2021-05-27;986.72
2021-05-28;961.3
2021-05-29;969.18
2021-05-30;969.18
2021-05-31;1095.35
2021-06-01;1095.1
2021-06-02;1121.35
2021-06-03;1137.59
2021-06-04;1143.28
2021-06-05;1143.28
2021-06-06;1153.37
2021-06-07;1164.21
2021-06-08;1161.46
2021-06-09;1161.43
2021-06-10;1157.54
2021-06-11;1157.48
2021-06-12;1156.26
2021-06-13;1153.48
2021-06-14;1171.23
2021-06-15;1178.69
2021-06-16;1178.17
2021-06-17;1167.93
2021-06-18;1160.85
2021-06-19;1158.27
2021-06-20;1156.66
2021-06-21;1150.03
2021-06-22;1143.25
2021-06-23;1148.38
2021-06-24;1090.51
2021-06-25;1053.46
2021-06-26;1057.99
2021-06-27;1057.99
2021-06-28;1033.62
2021-06-29;1025.17
2021-06-30;1022.64
2021-07-01;1036.34
2021-07-02;1005.63
2021-07-03;1007.42
2021-07-04;1012.53
2021-07-05;1014.6
2021-07-06;1013.52
2021-07-07;1014.31
2021-07-08;1003.08
2021-07-09;993.19
2021-07-10;999.11
2021-07-11;1025.78
2021-07-12;1014.22
2021-07-13;1006.06
2021-07-14;989.29
2021-07-15;986.79
2021-07-16;998.4
2021-07-17;999.24
2021-07-18;1000.55
2021-07-19;1037.02
2021-07-20;1029.36
2021-07-21;1037.46
2021-07-22;1035.15
2021-07-23;1026.53
2021-07-24;1023.06
2021-07-25;1038.84
2021-07-26;1024.37
2021-07-27;1033.93
2021-07-28;1043.47
2021-07-29;1027.59
2021-07-30;1025.83
2021-07-31;1026.11
2021-08-01;1034.47
2021-08-02;1036.16
2021-08-03;1036.97
2021-08-04;1038.82
2021-08-05;1042.24
2021-08-06;1038.52
2021-08-07;1036.97
2021-08-08;1036.31
2021-08-09;1043.91
2021-08-10;1043.93
2021-08-11;1032.16
2021-08-12;1052.58
2021-08-13;1053.64
2021-08-14;1059.74
